N,M,rfc_type,aperture_rossler_attractor,aperture_lorenz_attractor,aperture_mackey_glass,aperture_henon_attractor,n_adapt,washout,beta_W,beta_W_out,W_in_std,W_sr,bias,noise_std,signal_noise,experiment_name,cycles,n_rep,nrmse
500,1,matrix_conceptor,400,100,200,300,3000,500,0.0001,0.01,1.2,0.8,0.4,0.00011,0.0005,../res/2025-01-23 16:41:02__500.csv,2,5,0.003837262698844948
500,1,matrix_conceptor,400,100,200,300,3000,500,0.0001,0.01,1.2,0.8,0.4,9e-05,0.0005,../res/2025-01-23 16:41:02__500.csv,2,5,0.004164942101456482
500,1,matrix_conceptor,400,100,200,300,3000,500,0.0001,0.01,1.2,0.8,0.4,0.0001,0.00055,../res/2025-01-23 16:41:02__500.csv,2,5,0.0048174679980517695
500,1,matrix_conceptor,400,100,200,300,3000,500,0.0001,0.01,1.2,0.8,0.4,0.0001,0.00045,../res/2025-01-23 16:41:02__500.csv,2,5,0.004455675412856135
500,1,matrix_conceptor,400,100,200,300,3000,500,0.00011,0.01,1.2,0.8,0.4,0.0001,0.0005,../res/2025-01-23 16:41:02__500.csv,2,5,0.004389128250034954
500,1,matrix_conceptor,400,100,200,300,3000,500,9e-05,0.01,1.2,0.8,0.4,0.0001,0.0005,../res/2025-01-23 16:41:02__500.csv,2,5,0.0038185129461149555
500,1,matrix_conceptor,500.0,100,200,300,3000,500,0.0001,0.01,1.2,0.8,0.4,0.0001,0.0005,../res/2025-01-23 16:41:02__500.csv,2,5,0.003370725594203557
500,1,matrix_conceptor,300.0,100,200,300,3000,500,0.0001,0.01,1.2,0.8,0.4,0.0001,0.0005,../res/2025-01-23 16:41:02__500.csv,2,5,0.004080578005071833
500,1,matrix_conceptor,400,125.0,200,300,3000,500,0.0001,0.01,1.2,0.8,0.4,0.0001,0.0005,../res/2025-01-23 16:41:02__500.csv,2,5,0.004575056144853851
500,1,matrix_conceptor,400,75.0,200,300,3000,500,0.0001,0.01,1.2,0.8,0.4,0.0001,0.0005,../res/2025-01-23 16:41:02__500.csv,2,5,0.0030404897943870357
500,1,matrix_conceptor,400,100,250.0,300,3000,500,0.0001,0.01,1.2,0.8,0.4,0.0001,0.0005,../res/2025-01-23 16:41:02__500.csv,2,5,0.003913186903781028
500,1,matrix_conceptor,400,100,150.0,300,3000,500,0.0001,0.01,1.2,0.8,0.4,0.0001,0.0005,../res/2025-01-23 16:41:02__500.csv,2,5,0.0036946750500919862
500,1,matrix_conceptor,400,100,112.5,300,3000,500,0.0001,0.01,1.2,0.8,0.4,0.0001,0.0005,../res/2025-01-23 16:41:02__500.csv,2,5,0.003110876274591229
500,1,matrix_conceptor,400,100,84.375,300,3000,500,0.0001,0.01,1.2,0.8,0.4,0.0001,0.0005,../res/2025-01-23 16:41:02__500.csv,2,5,0.003654710626137416
